2-Oxocarboxylic acid metabolism	HICITD
Biosynthesis of siderophore group nonribosomal peptides	DHBD	ICHORT	SALCS2
Biotin metabolism	3HACPR1	3HACPR2	3OAACPR1	3OAACPR2	AMAOTr	AOXSr	AOXSr2	BACCLi	BSORx	BSORy	BTNCL	BTNCLi	BTND1	BTS4	DBTS	EACPR1	EACPR2	GACPCD	MALCOACD	MALCOAMT	PMACPME
Butanoate metabolism	2HYDOGCOAD	2HYDOGCOAT	2HYDOGDH	3BTCOAI	3HBBUTH	3HBCD	3HBCOAE	4HBNOX	5A3OHEXCLE	ACACCTr	ACCOAT	ACLDC	ACOAD1	ACOAD1f	ACOAD1fi	ACOAD1i	ACOAD2	ACTD	ACTNDH	BCOAACT	BDH	BTALDH	BTCOAACCOAT	BTCOADH	BTCOADHi	BTDD_RR	BUTCT	BUTCTr	BUTKr	FDNADOX_H	GLUTACCOADC	GLUTARCOAT	GLUTCOADH	GLUTCOADH2	HMGL	MALDDH	PBUTT	PHPB2	PHPB2i	SBTDOX	SSALxr	SSALyr
C5-Branched dibasic acid metabolism	CITMALL
Carbon fixation in photosynthetic organisms	RBPC	S17BPH
Cell wall biosynthesis	ACGAMT	ALAPGPL	AMAA	CDPEAS	CDPGLYCGPT	CDPGLYCPGH	ETHAAL	ETHAP	G1PACT	GLNSP1	GLNSP2	GLNSP3	HBCD	HDG3PACT	IHDUDPG	IHDUDPMG	IPDUDPG	IPDUDPMG	ITDUDPG	ITDUDPMG	IXDUDPG	IXDUDPMG	MUDPDGT	MUDPMGT	PAPPT2	PAPPT3	PEPGLY	PGAMT	PGPGT	PLASMETHAPH	PUDPDGT	PUDPMGT	SGAT	SUDPDGT	SUDPMGT	TDG3PACT	TDPADGAT	TDPAGTA	TDPDRE	TECA1S140	TECA1S160	TECA1S180	TECA1SAI15	TECA1SAI17	TECA1SI14	TECA1SI15	TECA1SI16	TECA1SI17	TECA2S140	TECA2S160	TECA2S180	TECA2SAI15	TECA2SAI17	TECA2SI14	TECA2SI15	TECA2SI16	TECA2SI17	TECA3S140	TECA3S160	TECA3S180	TECA3SAI15	TECA3SAI17	TECA3SI14	TECA3SI15	TECA3SI16	TECA3SI17	TECA4S	TECA5S140	TECA5S160	TECA5S180	TECA5SAI15	TECA5SAI17	TECA5SI14	TECA5SI15	TECA5SI16	TECA5SI17	TECAAE	TECAGE	TECAUE	TEICH45	UAAGDS	UAGPT2	UAGPT3	UAMAGS	UAMAS	UAPGR	UDCPDP	UDCPDPS	UDPDPS	UGMDDS	URFGTT
Chloroalkane and chloroalkene degradation	MSAS
Cholesterol metabolism	DMATT	FRDPFT	FRDPS	FRTT	FT	GRTT	OCTDPS	SQLE	SQLErev	SSQEPXS	r0488
Chondroitin sulfate degradation	CS4TASE	CS4TASE2	CS6TASE	CSABCASE_A_e	CSABCASE_B_e	CSABCASE_C_e	GLCAASEe	IDOURASE	IS2TASE
Citric acid cycle	3CARLPDH	ACITL	ACONT	ACONTa	ACONTb	AKO	CITL	CS	FRD2	FRD3	FRD7	FUM	ICDHx	ICDHy	ICDHyr	ICL	MALFADO	MALFADOi	MDH	MDH2	MDH3	ME1	OAACL	OAACLi	OAAS	OAASr	OOR2r	PC	PPCK	PPCKr	SUCD1	SUCD1i	SUCD4	SUCDi	SUCDimq	SUCOAS	SUCOAS1	SUCOAS1c	r0163c	r0556c	r0556ci
CoA catabolism	PNTEH	r0679
CoA synthesis	2DHPL	ACPS	ACPS1	ACPpds	DPCOAK	DPR	DPRr	MOHMT	PANTS	PNTK	PPCDC	PPNCL3	PTPAT	r0578	r0671
